忙	mang2	384816.816	442		415					
未	wei4	384023.4709	11234							
弟	di4	383550.2206	43		51523					
六	liu4	381594.4257	4134							
复	fu4	380563.6896	31		2511	354			日	夂
衣	yi1	380130.2597	413534				衣			
确	que4	379502.3224	13251		35	35112				
敢	gan3	379405.0687	5122111		3134				攵	
片	pian4	377689.7278	3215							
奇	qi2	376757.0112	134		12	251	大			口
故	gu4	375668.8418	12	251	3134		十	口	攵	
究	jiu1	374680.2235	445	34	35		穴			
南	nan2	374017.8263	12		25	43112	十			
答	da2	373843.2291	314314		341	251	竹		人	口
取	qu3	373478.7191	122111		54		耳		又	
妈	ma1	373469.5298	531		551		女			
谈	tan2	371780.2253	45		4334	4334	讠		火	火
客	ke4	371751.1258	445		354	251	宀		夂	口
底	di3	371558.9157	413		35154		广			
备	bei4	370688.9929	354		25121		夂			
绝	jue2	369690.4194	551		35	5215	纟			
期	qi2	369213.3402	122111	34	3511				月	
网	wang3	368181.0726	25		34	34				
足	zu2	367762.9583	2512134				足			
英	ying1	367324.9337	122		25134		草			
血	xue4	366954.2976	325221							
线	xian4	366406.0011	551		11534		纟			
慢	man4	365840.8575	442		2511	2522154			日	罒
千	qian1	364760.3459	312							
准	zhun3	363427.8937	41		32	411121	冫		亻	
格	ge2	361278.3571	1234		354	251	木		夂	口
易	yi4	361090.7417	2511		3533		日			
包	bao1	360021.7168	35		515					
夜	ye4	359919.1026	41		32	3544			亻	夂
热	re4	359695.4957	121	354	4444		手		火	
树	shu4	359115.0366	1234		54	124	木		又	
显	xian3	359103.5499	2511		22431		日			
构	gou4	358752.824	1234		3554		木			
照	zhao4	357849.2069	2511	53251	4444		日		火	
员	yuan2	357700.6461	251		2534		口		贝	
突	tu1	357334.6047	445	34	134	4	穴		大	
终	zhong1	357070.4115	551		354	44	纟		夂	
业	ye4	354310.5506	22431							
块	kuai4	353907.7518	121		5134		土			
运	yun4	352815.7535	11	54	454				辶	
令	ling4	351477.9408	34		454		人			
估	gu1	350582.7473	32		12	251	亻		十	口
暗	an4	349749.5817	2511		41431	2511	日		立	日
双	shuang1	349608.6787	54		54		又		又	
众	zhong4	349432.5499	34		34	34	人		人	人
古	gu3	349348.3145	12		251		十		口	
引	yin3	348836.0095	515		2					
态	tai4	348694.3407	1344	4	4544		大		心	
尽	jin4	347932.3925	5134		44		尸			
布	bu4	347360.3569	13		252					
修	xiu1	347283.7792	322		354	333	亻		夂	
留	liu2	345645.016	354	53	25121			刀		
武	wu3	345560.7805	1154		2121				止	
晚	wan3	344164.7687	2511		35	25135	日			
创	chuang4	342986.2377	34	55	22		人			
断	duan4	342338.3902	431234	5	3312					
调	tiao2	342146.9459	45		35	121251	讠			土
官	guan1	341594.0548	445		25151		宀			
德	de2	340107.6812	332		12252211	4544	彳		十	
响	xiang3	339220.9113	251		325	251	口			口
错	cuo4	337987.2442	31115		1221	2511	金			日
建	jian4	336547.5831	511112		54					
达	da2	335906.6277	134		454		大		辶	
曾	ceng2	335828.5184	43252431		2511				日	
嘴	zui3	335035.1732	251		212135	3535112	口		止	
低	di1	334952.4693	32		35154		亻			
欢	huan1	333442.3567	54		35	34	又			人
诗	shi1	332699.5528	45		121	124	讠		土	寸
尔	er3	331493.4538	35		234					
罗	luo2	330988.0408	25221		354		罒			
标	biao1	330564.5661	1234		11	234	木			
改	gai3	330170.9566	515		3134				攵	
